ID,var,plot_nm,def,notes,
109,annualZtot_large,Total zooplankton (annual),Total large zooplankton abundance for entire survey area during summer (months 7-9),"Eup_tot +Nca_tot , where Eup_tot = ""EupS"" + ""EupO"" (time-averaged Offshore euphausiid concentration),Nca_tot=""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration), were summed across depths for the entire shelf area weekly, and then totaled for all weeks ",
110,annualZavg_CopandEu,Avg. copepods and euphausiids (annual),Index of combined  (across weeks and stratum) Cop and Eupasiid concentration (#/m2)  for entire survey area during summer (months 7-9),"Eup_avg +Cop_avg , where Eup_avg = ""EupS"" + ""EupO"" (time-averaged Offshore euphausiid concentration) and ""Cop"" (time-averaged small coastal copepod concentration), were averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ",
111,annualZavg,Avg. zooplankton (annual),Index of combined  (across weeks and stratum)  zooplankton concentration (#/m2)  for entire survey area during summer (months 7-9),"Eup_avg +Cop_avg+Nca_avg , where Eup_avg = ""EupS"" + ""EupO"" (time-averaged Offshore euphausiid concentration),Nca_avg=""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration), and ""Cop"" (time-averaged small coastal copepod concentration), were averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ",
112,annualEuphavg,Avg. euphausiids (annual),Index of combined  (across weeks and stratum)  large zooplankton concentration (#/m2) for entire survey area during summer (months 7-9),"Eup_avg +Nca_avg , where Eup_avg = ""EupS"" + ""EupO"" (time-averaged Offshore euphausiid concentration),Nca_avg=""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration), , were averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ",
113,annualCOPavg,Avg. copepoda (annual),Index of  (across weeks and stratum)  small copepod concentration (#/m2) for entire survey area during summer (months 7-9),"""Cop"" (time-averaged small coastal copepod concentration), averaged for the water column (depth corrected) at each station,  were averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ",
114,annualNCAavg,Avg. neocalanus (annual),Index of combined  (across weeks and stratum)  neocalanus spp concentration (#/m2) for entire survey area during summer (months 7-9),"Nca_avg=""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration), , were averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ",
115,annualNCAandCop_avg,Avg. neocalanus and copepoda (annual),Index of combined  (across weeks and stratum)  neocalanus +small copepod concentration (#/m2) for entire survey area during summer (months 7-9),"Nca_avg=""NCaS"" + ""NCaO"" (time-averaged neocalanus spp. Concentration) +""Cop"" (time-averaged small coastal copepod concentration) , were averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ",
116,annualBTavg,Bottom temperature (annual),Mean (across weeks and stratum) summer bottom temperature,Bottom temperature was averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ,
117,annualMZL_avg,Avg. large microzooplankton (annual),Index of  (across weeks and stratum)  microzooplankton concentration (#/m2) for entire survey area during summer (months 7-9),Mean large microzooplankton concentration was averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks .,
118,annualPhytLandS_avg,Avg. phytoplankton (annual),Index of combined  (across weeks and stratum) mean large and small phytoplankton concentrations (#/m2) for entire survey area during summer (months 7-9),Mean small and large phytoplankton concentration were calculated and then summed for each stratum (corrected for depth) and then averaged across stratum for all weeks ,
119,annualPhyL_avg,Avg. large phytoplankton (annual),Index of  (across weeks and stratum)  large phytoplankton concentration (#/m2) for entire survey area during summer (months 7-9),Mean large phytoplankton concentration was averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ,
120,annualPhyS_avg,Avg. small phytoplankton (annual),Index of  (across weeks and stratum)  small phytoplankton concentration (#/m2) for entire survey area during summer (months 7-9),Mean small phytoplankton concentration was averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ,
121,annualJel_avg,Avg. jellyfish (annual),Index of  (across weeks and stratum) summer jellyfish concentration (#/m2) for entire survey area during summer (months 7-9),Mean Jellyfish concentration was averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ,
122,annualSSTavg,Sea surface temperature (annual),Mean (across weeks and stratum) summer Seas Surface temperature,sea surface temperature was averaged for each stratum (corrected for depth) and then averaged across stratum for all weeks ,
123,EUP_top,Surface layer only euphausiid,,,
124,NCA_top,Surface layer only neocalanus,,,
125,COP_top,Surface layer only copepod,,,
126,SST_top,Surface layer only SST,,,
127,ice,ice,,,
128,BT2to6,Bottom tempture area 2-6 deg. C,,,
129,BT0to6,Bottom tempture area 0-6 deg. C,,,
130,BTgt2,Bottom tempture area > 2 deg. C,,,
131,prod_MZS_avg,defunct4,,,
132,v_avg,Avg. v,,,
133,u_avg,Avg. u,,,
134,vbar,vbar,,,
135,ubar,ubar,,,
136,Tcline_avg,defunct1,,,
137,Tcline_tot,defunct2,,,
138,all,defunct3,,,
